date, time, open, high, low, close, volume, currency
2018.08.12,03:00,6278.23000000,6292.00000000,6275.00000000,6289.33000000,130.26792700,BTCUSDT
2018.08.12,03:05,6291.99000000,6294.99000000,6276.34000000,6287.13000000,24.49501600,BTCUSDT
2018.08.12,03:10,6287.13000000,6289.99000000,6285.00000000,6287.00000000,20.40427300,BTCUSDT
2018.08.12,03:15,6287.00000000,6289.00000000,6270.00000000,6270.00000000,19.62521400,BTCUSDT
2018.08.12,03:20,6266.85000000,6275.03000000,6253.55000000,6271.00000000,9.99185800,BTCUSDT
2018.08.12,03:25,6273.59000000,6273.59000000,6265.64000000,6265.67000000,1.59096400,BTCUSDT
2018.08.12,03:30,6265.71000000,6268.99000000,6261.23000000,6267.03000000,4.73304200,BTCUSDT
2018.08.12,03:35,6266.18000000,6273.00000000,6261.63000000,6273.00000000,5.41019000,BTCUSDT
2018.08.12,03:40,6271.74000000,6279.96000000,6271.74000000,6279.96000000,4.82534100,BTCUSDT
2018.08.12,03:45,6277.02000000,6281.17000000,6272.72000000,6279.86000000,5.62003900,BTCUSDT
2018.08.12,03:50,6279.85000000,6280.00000000,6273.21000000,6276.02000000,6.84951100,BTCUSDT
2018.08.12,03:55,6275.15000000,6279.00000000,6267.78000000,6273.00000000,14.69704300,BTCUSDT
2018.08.12,04:00,6268.39000000,6272.99000000,6261.13000000,6262.97000000,22.40646400,BTCUSDT
2018.08.12,04:05,6263.79000000,6269.99000000,6261.02000000,6265.72000000,27.18471500,BTCUSDT
2018.08.12,04:10,6265.52000000,6268.50000000,6256.11000000,6261.18000000,15.46597800,BTCUSDT
2018.08.12,04:15,6260.33000000,6260.33000000,6245.00000000,6247.06000000,74.03660900,BTCUSDT
2018.08.12,04:20,6247.06000000,6255.15000000,6244.00000000,6252.39000000,44.97482500,BTCUSDT
2018.08.12,04:25,6255.00000000,6260.68000000,6252.40000000,6260.68000000,13.45060500,BTCUSDT
2018.08.12,04:30,6260.65000000,6261.79000000,6250.74000000,6255.00000000,24.09285600,BTCUSDT
2018.08.12,04:35,6254.86000000,6263.70000000,6254.86000000,6260.89000000,10.39457500,BTCUSDT
2018.08.12,04:40,6262.98000000,6263.00000000,6258.01000000,6260.00000000,28.17916900,BTCUSDT
2018.08.12,04:45,6258.66000000,6261.07000000,6246.08000000,6252.81000000,36.61439400,BTCUSDT
2018.08.12,04:50,6254.00000000,6258.24000000,6253.71000000,6258.19000000,5.15809000,BTCUSDT
2018.08.12,04:55,6258.19000000,6261.95000000,6255.26000000,6257.81000000,12.71970900,BTCUSDT
2018.08.12,05:00,6260.28000000,6263.00000000,6255.15000000,6263.00000000,12.10131800,BTCUSDT
2018.08.12,05:05,6261.00000000,6266.56000000,6261.00000000,6266.55000000,5.49807000,BTCUSDT
2018.08.12,05:10,6265.00000000,6278.00000000,6264.86000000,6277.32000000,6.33501900,BTCUSDT
2018.08.12,05:15,6277.47000000,6277.47000000,6266.66000000,6267.50000000,9.12017200,BTCUSDT
2018.08.12,05:20,6265.77000000,6269.76000000,6265.00000000,6266.89000000,1.91030600,BTCUSDT
2018.08.12,05:25,6268.82000000,6278.30000000,6268.82000000,6275.35000000,5.69517000,BTCUSDT
2018.08.12,05:30,6278.65000000,6284.54000000,6274.06000000,6284.11000000,28.14667700,BTCUSDT
2018.08.12,05:35,6287.94000000,6310.25000000,6287.04000000,6298.31000000,96.18274500,BTCUSDT
2018.08.12,05:40,6304.00000000,6312.55000000,6296.73000000,6312.55000000,79.47051000,BTCUSDT
2018.08.12,05:45,6354.99000000,6370.00000000,6323.72000000,6327.01000000,168.95914400,BTCUSDT
2018.08.12,05:50,6328.00000000,6350.00000000,6328.00000000,6337.69000000,116.45904900,BTCUSDT
2018.08.12,05:55,6340.00000000,6348.48000000,6330.00000000,6340.40000000,33.89263400,BTCUSDT
2018.08.12,06:00,6340.38000000,6340.80000000,6323.00000000,6325.22000000,49.62705300,BTCUSDT
2018.08.12,06:05,6325.22000000,6325.22000000,6308.01000000,6314.00000000,31.08635900,BTCUSDT
